N,time_s,current_kB,peak_kB
10,0.0019998550415039062,2.3828125,4.28515625
30,0.005167245864868164,18.732421875,33.248046875
100,0.02396106719970703,156.6015625,313.1796875
150,0.052420854568481445,351.9140625,703.8046875
330,0.24677014350891113,1702.7568359375,3406.466796875
640,0.9976639747619629,6401.896484375,12802.224609375
1000,2.4626669883728027,15626.2265625,31251.5546875
1500,5.4894702434539795,35157.4833984375,70314.0615234375
3000,22.078150272369385,140627.1162109375,281252.4443359375
